grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step
6.02,0.261,0.504,0.19,0.164,0.187,0.261,0.504,0.19,0.164,0.187,9.18e+06,7.17e+04
6.06,0.26,0.5,0.191,0.16,0.184,0.26,0.5,0.191,0.16,0.184,9.22e+06,7.2e+04
5.91,0.262,0.509,0.192,0.163,0.185,0.262,0.509,0.192,0.163,0.185,9.25e+06,7.23e+04
5.96,0.26,0.504,0.192,0.16,0.185,0.26,0.504,0.192,0.16,0.185,9.29e+06,7.26e+04
6.04,0.262,0.508,0.19,0.163,0.184,0.262,0.508,0.19,0.163,0.184,9.33e+06,7.29e+04
5.82,0.263,0.51,0.196,0.16,0.186,0.263,0.51,0.196,0.16,0.186,9.37e+06,7.32e+04
6.01,0.262,0.51,0.193,0.159,0.184,0.262,0.51,0.193,0.159,0.184,9.41e+06,7.35e+04
5.92,0.261,0.507,0.189,0.16,0.187,0.261,0.507,0.189,0.16,0.187,9.45e+06,7.38e+04
5.9,0.26,0.5,0.19,0.163,0.185,0.26,0.5,0.19,0.163,0.185,9.48e+06,7.41e+04
5.97,0.26,0.503,0.193,0.164,0.184,0.26,0.503,0.193,0.164,0.184,9.52e+06,7.44e+04
5.89,0.263,0.507,0.192,0.162,0.188,0.263,0.507,0.192,0.162,0.188,9.56e+06,7.47e+04
5.9,0.259,0.509,0.19,0.159,0.183,0.259,0.509,0.19,0.159,0.183,9.6e+06,7.5e+04
5.84,0.261,0.508,0.192,0.16,0.186,0.261,0.508,0.192,0.16,0.186,9.64e+06,7.53e+04
5.79,0.26,0.503,0.193,0.162,0.184,0.26,0.503,0.193,0.162,0.184,9.68e+06,7.56e+04
5.97,0.261,0.503,0.19,0.162,0.183,0.261,0.503,0.19,0.162,0.183,9.72e+06,7.59e+04
5.82,0.259,0.507,0.19,0.162,0.182,0.259,0.507,0.19,0.162,0.182,9.75e+06,7.62e+04
5.93,0.26,0.506,0.193,0.16,0.179,0.26,0.506,0.193,0.16,0.179,9.79e+06,7.65e+04
5.96,0.261,0.504,0.195,0.161,0.183,0.261,0.504,0.195,0.161,0.183,9.83e+06,7.68e+04
5.9,0.259,0.503,0.192,0.159,0.183,0.259,0.503,0.192,0.159,0.183,9.87e+06,7.71e+04
6.08,0.262,0.508,0.19,0.162,0.185,0.262,0.508,0.19,0.162,0.185,9.91e+06,7.74e+04
5.89,0.258,0.5,0.191,0.162,0.183,0.258,0.5,0.191,0.162,0.183,9.95e+06,7.77e+04
6.02,0.261,0.505,0.189,0.162,0.183,0.261,0.505,0.189,0.162,0.183,9.98e+06,7.8e+04
5.88,0.259,0.5,0.192,0.162,0.183,0.259,0.5,0.192,0.162,0.183,1e+07,7.83e+04
5.91,0.26,0.501,0.192,0.16,0.183,0.26,0.501,0.192,0.16,0.183,1.01e+07,7.86e+04
6.02,0.26,0.503,0.193,0.164,0.182,0.26,0.503,0.193,0.164,0.182,1.01e+07,7.89e+04
5.77,0.26,0.506,0.189,0.162,0.182,0.26,0.506,0.189,0.162,0.182,1.01e+07,7.92e+04
5.99,0.259,0.503,0.188,0.16,0.18,0.259,0.503,0.188,0.16,0.18,1.02e+07,7.95e+04
6.13,0.261,0.501,0.193,0.16,0.186,0.261,0.501,0.193,0.16,0.186,1.02e+07,7.98e+04
6,0.261,0.504,0.192,0.161,0.184,0.261,0.504,0.192,0.161,0.184,1.03e+07,8.01e+04
6.04,0.258,0.5,0.19,0.162,0.184,0.258,0.5,0.19,0.162,0.184,1.03e+07,8.04e+04
5.73,0.257,0.501,0.191,0.16,0.179,0.257,0.501,0.191,0.16,0.179,1.03e+07,8.07e+04
6.08,0.261,0.507,0.189,0.162,0.184,0.261,0.507,0.189,0.162,0.184,1.04e+07,8.1e+04
6.06,0.261,0.507,0.192,0.161,0.183,0.261,0.507,0.192,0.161,0.183,1.04e+07,8.13e+04
5.69,0.258,0.5,0.19,0.164,0.179,0.258,0.5,0.19,0.164,0.179,1.04e+07,8.16e+04
5.98,0.26,0.508,0.189,0.162,0.182,0.26,0.508,0.189,0.162,0.182,1.05e+07,8.19e+04
5.86,0.259,0.5,0.189,0.161,0.182,0.259,0.5,0.189,0.161,0.182,1.05e+07,8.22e+04
5.82,0.258,0.497,0.19,0.16,0.183,0.258,0.497,0.19,0.16,0.183,1.06e+07,8.25e+04
5.87,0.258,0.502,0.189,0.159,0.18,0.258,0.502,0.189,0.159,0.18,1.06e+07,8.28e+04
5.86,0.258,0.504,0.189,0.159,0.182,0.258,0.504,0.189,0.159,0.182,1.06e+07,8.31e+04
5.78,0.259,0.5,0.192,0.161,0.184,0.259,0.5,0.192,0.161,0.184,1.07e+07,8.34e+04
5.9,0.261,0.51,0.194,0.16,0.181,0.261,0.51,0.194,0.16,0.181,1.07e+07,8.37e+04
5.85,0.254,0.498,0.188,0.159,0.176,0.254,0.498,0.188,0.159,0.176,1.08e+07,8.4e+04
5.83,0.259,0.503,0.19,0.159,0.183,0.259,0.503,0.19,0.159,0.183,1.08e+07,8.43e+04
5.96,0.257,0.497,0.188,0.16,0.181,0.257,0.497,0.188,0.16,0.181,1.08e+07,8.46e+04
6.02,0.259,0.504,0.189,0.16,0.182,0.259,0.504,0.189,0.16,0.182,1.09e+07,8.49e+04
5.78,0.259,0.507,0.192,0.162,0.178,0.259,0.507,0.192,0.162,0.178,1.09e+07,8.52e+04
5.87,0.259,0.504,0.192,0.159,0.183,0.259,0.504,0.192,0.159,0.183,1.09e+07,8.55e+04
5.8,0.258,0.498,0.189,0.16,0.182,0.258,0.498,0.189,0.16,0.182,1.1e+07,8.58e+04
5.94,0.259,0.5,0.192,0.16,0.181,0.259,0.5,0.192,0.16,0.181,1.1e+07,8.61e+04
5.87,0.256,0.494,0.193,0.159,0.178,0.256,0.494,0.193,0.159,0.178,1.11e+07,8.64e+04
5.69,0.258,0.504,0.187,0.161,0.18,0.258,0.504,0.187,0.161,0.18,1.11e+07,8.67e+04
5.87,0.257,0.494,0.191,0.16,0.184,0.257,0.494,0.191,0.16,0.184,1.11e+07,8.7e+04
5.68,0.256,0.495,0.189,0.159,0.181,0.256,0.495,0.189,0.159,0.181,1.12e+07,8.73e+04
5.92,0.259,0.499,0.192,0.163,0.181,0.259,0.499,0.192,0.163,0.181,1.12e+07,8.76e+04
5.82,0.258,0.5,0.19,0.162,0.179,0.258,0.5,0.19,0.162,0.179,1.13e+07,8.79e+04
5.84,0.257,0.501,0.191,0.157,0.179,0.257,0.501,0.191,0.157,0.179,1.13e+07,8.82e+04
5.93,0.257,0.495,0.191,0.158,0.181,0.257,0.495,0.191,0.158,0.181,1.13e+07,8.85e+04
5.78,0.256,0.497,0.191,0.159,0.181,0.256,0.497,0.191,0.159,0.181,1.14e+07,8.88e+04
5.92,0.258,0.505,0.191,0.16,0.18,0.258,0.505,0.191,0.16,0.18,1.14e+07,8.91e+04
5.87,0.259,0.505,0.194,0.159,0.179,0.259,0.505,0.194,0.159,0.179,1.14e+07,8.94e+04
5.84,0.257,0.496,0.187,0.162,0.178,0.257,0.496,0.187,0.162,0.178,1.15e+07,8.97e+04
5.85,0.256,0.498,0.19,0.159,0.18,0.256,0.498,0.19,0.159,0.18,1.15e+07,9e+04
5.91,0.255,0.498,0.19,0.159,0.177,0.255,0.498,0.19,0.159,0.177,1.16e+07,9.03e+04
5.72,0.257,0.501,0.189,0.16,0.18,0.257,0.501,0.189,0.16,0.18,1.16e+07,9.06e+04
5.83,0.256,0.491,0.19,0.159,0.18,0.256,0.491,0.19,0.159,0.18,1.16e+07,9.09e+04
5.88,0.256,0.498,0.187,0.161,0.181,0.256,0.498,0.187,0.161,0.181,1.17e+07,9.12e+04
5.73,0.256,0.498,0.191,0.159,0.179,0.256,0.498,0.191,0.159,0.179,1.17e+07,9.15e+04
5.74,0.26,0.504,0.192,0.16,0.181,0.26,0.504,0.192,0.16,0.181,1.18e+07,9.18e+04
5.83,0.256,0.496,0.19,0.16,0.18,0.256,0.496,0.19,0.16,0.18,1.18e+07,9.21e+04
5.91,0.258,0.501,0.192,0.159,0.178,0.258,0.501,0.192,0.159,0.178,1.18e+07,9.24e+04
5.84,0.257,0.504,0.189,0.159,0.178,0.257,0.504,0.189,0.159,0.178,1.19e+07,9.27e+04
5.63,0.254,0.496,0.186,0.16,0.177,0.254,0.496,0.186,0.16,0.177,1.19e+07,9.3e+04
5.9,0.257,0.498,0.189,0.16,0.177,0.257,0.498,0.189,0.16,0.177,1.19e+07,9.33e+04
5.7,0.256,0.496,0.192,0.162,0.179,0.256,0.496,0.192,0.162,0.179,1.2e+07,9.36e+04
6.01,0.26,0.508,0.194,0.158,0.181,0.26,0.508,0.194,0.158,0.181,1.2e+07,9.39e+04
5.84,0.255,0.501,0.188,0.158,0.18,0.255,0.501,0.188,0.158,0.18,1.21e+07,9.42e+04
5.91,0.257,0.496,0.191,0.158,0.177,0.257,0.496,0.191,0.158,0.177,1.21e+07,9.45e+04
5.83,0.258,0.499,0.193,0.158,0.183,0.258,0.499,0.193,0.158,0.183,1.21e+07,9.48e+04
5.85,0.258,0.501,0.193,0.158,0.181,0.258,0.501,0.193,0.158,0.181,1.22e+07,9.51e+04
5.65,0.256,0.496,0.19,0.159,0.178,0.256,0.496,0.19,0.159,0.178,1.22e+07,9.54e+04
5.73,0.255,0.496,0.188,0.158,0.18,0.255,0.496,0.188,0.158,0.18,1.22e+07,9.57e+04
5.65,0.255,0.492,0.187,0.159,0.182,0.255,0.492,0.187,0.159,0.182,1.23e+07,9.6e+04
5.6,0.258,0.5,0.188,0.163,0.18,0.258,0.5,0.188,0.163,0.18,1.23e+07,9.63e+04
5.77,0.254,0.493,0.19,0.159,0.177,0.254,0.493,0.19,0.159,0.177,1.24e+07,9.66e+04
5.78,0.255,0.495,0.19,0.156,0.176,0.255,0.495,0.19,0.156,0.176,1.24e+07,9.69e+04
5.9,0.258,0.5,0.192,0.16,0.178,0.258,0.5,0.192,0.16,0.178,1.24e+07,9.72e+04
5.76,0.257,0.498,0.189,0.16,0.18,0.257,0.498,0.189,0.16,0.18,1.25e+07,9.75e+04
5.82,0.255,0.497,0.19,0.158,0.176,0.255,0.497,0.19,0.158,0.176,1.25e+07,9.78e+04
5.78,0.257,0.495,0.192,0.161,0.178,0.257,0.495,0.192,0.161,0.178,1.26e+07,9.81e+04
5.72,0.257,0.499,0.187,0.16,0.179,0.257,0.499,0.187,0.16,0.179,1.26e+07,9.84e+04
5.69,0.254,0.493,0.188,0.155,0.177,0.254,0.493,0.188,0.155,0.177,1.26e+07,9.87e+04
5.73,0.256,0.506,0.188,0.159,0.176,0.256,0.506,0.188,0.159,0.176,1.27e+07,9.9e+04
5.8,0.256,0.499,0.189,0.16,0.176,0.256,0.499,0.189,0.16,0.176,1.27e+07,9.93e+04
5.77,0.257,0.498,0.19,0.16,0.176,0.257,0.498,0.19,0.16,0.176,1.27e+07,9.96e+04
5.56,0.257,0.493,0.192,0.16,0.176,0.257,0.493,0.192,0.16,0.176,1.28e+07,9.99e+04
5.92,0.254,0.498,0.188,0.154,0.18,0.254,0.498,0.188,0.154,0.18,1.28e+07,1e+05
5.91,0.258,0.497,0.193,0.161,0.18,0.258,0.497,0.193,0.161,0.18,1.29e+07,1.00e+05
5.86,0.253,0.489,0.191,0.159,0.178,0.253,0.489,0.191,0.159,0.178,1.29e+07,1.01e+05
5.65,0.253,0.494,0.186,0.158,0.177,0.253,0.494,0.186,0.158,0.177,1.29e+07,1.01e+05
5.75,0.254,0.499,0.184,0.158,0.174,0.254,0.499,0.184,0.158,0.174,1.3e+07,1.01e+05
5.57,0.253,0.493,0.191,0.158,0.173,0.253,0.493,0.191,0.158,0.173,1.3e+07,1.02e+05
5.84,0.254,0.496,0.186,0.156,0.179,0.254,0.496,0.186,0.156,0.179,1.31e+07,1.02e+05
5.55,0.255,0.496,0.189,0.158,0.177,0.255,0.496,0.189,0.158,0.177,1.31e+07,1.02e+05
5.79,0.254,0.496,0.188,0.158,0.176,0.254,0.496,0.188,0.158,0.176,1.31e+07,1.03e+05
5.71,0.254,0.493,0.186,0.162,0.177,0.254,0.493,0.186,0.162,0.177,1.32e+07,1.03e+05
5.93,0.255,0.5,0.192,0.158,0.175,0.255,0.5,0.192,0.158,0.175,1.32e+07,1.03e+05
5.71,0.255,0.499,0.19,0.159,0.173,0.255,0.499,0.19,0.159,0.173,1.32e+07,1.04e+05
5.73,0.256,0.5,0.189,0.162,0.176,0.256,0.5,0.189,0.162,0.176,1.33e+07,1.04e+05
5.74,0.252,0.487,0.188,0.159,0.175,0.252,0.487,0.188,0.159,0.175,1.33e+07,1.04e+05
5.7,0.256,0.499,0.188,0.16,0.177,0.256,0.499,0.188,0.16,0.177,1.34e+07,1.04e+05
5.74,0.257,0.5,0.186,0.158,0.178,0.257,0.5,0.186,0.158,0.178,1.34e+07,1.05e+05
5.61,0.255,0.492,0.191,0.159,0.175,0.255,0.492,0.191,0.159,0.175,1.34e+07,1.05e+05
5.78,0.255,0.492,0.187,0.159,0.178,0.255,0.492,0.187,0.159,0.178,1.35e+07,1.05e+05
5.87,0.254,0.498,0.187,0.154,0.176,0.254,0.498,0.187,0.154,0.176,1.35e+07,1.06e+05
5.75,0.255,0.495,0.187,0.163,0.175,0.255,0.495,0.187,0.163,0.175,1.36e+07,1.06e+05
5.83,0.253,0.496,0.189,0.156,0.173,0.253,0.496,0.189,0.156,0.173,1.36e+07,1.06e+05
5.7,0.253,0.496,0.187,0.158,0.171,0.253,0.496,0.187,0.158,0.171,1.36e+07,1.06e+05
5.65,0.253,0.492,0.186,0.16,0.174,0.253,0.492,0.186,0.16,0.174,1.37e+07,1.07e+05
5.81,0.254,0.499,0.19,0.156,0.175,0.254,0.499,0.19,0.156,0.175,1.37e+07,1.07e+05
5.78,0.253,0.489,0.186,0.156,0.175,0.253,0.489,0.186,0.156,0.175,1.37e+07,1.07e+05
5.67,0.254,0.488,0.189,0.16,0.174,0.254,0.488,0.189,0.16,0.174,1.38e+07,1.08e+05
5.56,0.253,0.491,0.188,0.158,0.174,0.253,0.491,0.188,0.158,0.174,1.38e+07,1.08e+05
5.85,0.253,0.487,0.187,0.157,0.178,0.253,0.487,0.187,0.157,0.178,1.39e+07,1.08e+05
5.68,0.252,0.493,0.189,0.156,0.173,0.252,0.493,0.189,0.156,0.173,1.39e+07,1.09e+05
5.83,0.253,0.491,0.191,0.156,0.175,0.253,0.491,0.191,0.156,0.175,1.39e+07,1.09e+05
5.81,0.254,0.494,0.191,0.157,0.176,0.254,0.494,0.191,0.157,0.176,1.4e+07,1.09e+05
5.78,0.256,0.502,0.19,0.155,0.174,0.256,0.502,0.19,0.155,0.174,1.4e+07,1.1e+05
5.87,0.252,0.491,0.188,0.161,0.173,0.252,0.491,0.188,0.161,0.173,1.41e+07,1.1e+05
5.8,0.253,0.49,0.19,0.157,0.176,0.253,0.49,0.19,0.157,0.176,1.41e+07,1.1e+05
5.82,0.254,0.494,0.188,0.156,0.176,0.254,0.494,0.188,0.156,0.176,1.41e+07,1.1e+05
5.74,0.252,0.491,0.19,0.154,0.174,0.252,0.491,0.19,0.154,0.174,1.42e+07,1.11e+05
5.92,0.254,0.497,0.188,0.154,0.176,0.254,0.497,0.188,0.154,0.176,1.42e+07,1.11e+05
5.46,0.25,0.486,0.187,0.157,0.17,0.25,0.486,0.187,0.157,0.17,1.42e+07,1.11e+05
5.78,0.252,0.492,0.188,0.155,0.173,0.252,0.492,0.188,0.155,0.173,1.43e+07,1.12e+05
5.55,0.256,0.495,0.192,0.156,0.179,0.256,0.495,0.192,0.156,0.179,1.43e+07,1.12e+05
5.68,0.254,0.497,0.187,0.159,0.173,0.254,0.497,0.187,0.159,0.173,1.44e+07,1.12e+05
5.68,0.253,0.496,0.185,0.155,0.173,0.253,0.496,0.185,0.155,0.173,1.44e+07,1.12e+05
5.75,0.252,0.499,0.189,0.154,0.173,0.252,0.499,0.189,0.154,0.173,1.44e+07,1.13e+05
5.68,0.252,0.491,0.186,0.157,0.174,0.252,0.491,0.186,0.157,0.174,1.45e+07,1.13e+05
5.68,0.253,0.492,0.188,0.152,0.172,0.253,0.492,0.188,0.152,0.172,1.45e+07,1.13e+05
5.7,0.253,0.498,0.187,0.153,0.176,0.253,0.498,0.187,0.153,0.176,1.46e+07,1.14e+05
5.57,0.252,0.493,0.186,0.156,0.174,0.252,0.493,0.186,0.156,0.174,1.46e+07,1.14e+05
5.74,0.25,0.487,0.187,0.155,0.172,0.25,0.487,0.187,0.155,0.172,1.46e+07,1.14e+05
5.78,0.25,0.495,0.186,0.156,0.17,0.25,0.495,0.186,0.156,0.17,1.47e+07,1.15e+05
5.77,0.25,0.49,0.187,0.153,0.172,0.25,0.49,0.187,0.153,0.172,1.47e+07,1.15e+05
5.74,0.248,0.487,0.186,0.153,0.171,0.248,0.487,0.186,0.153,0.171,1.47e+07,1.15e+05
5.61,0.251,0.489,0.188,0.156,0.17,0.251,0.489,0.188,0.156,0.17,1.48e+07,1.16e+05
5.64,0.253,0.495,0.189,0.155,0.174,0.253,0.495,0.189,0.155,0.174,1.48e+07,1.16e+05
5.74,0.251,0.495,0.186,0.153,0.173,0.251,0.495,0.186,0.153,0.173,1.49e+07,1.16e+05
5.88,0.252,0.492,0.186,0.157,0.17,0.252,0.492,0.186,0.157,0.17,1.49e+07,1.16e+05
5.76,0.252,0.488,0.189,0.157,0.169,0.252,0.488,0.189,0.157,0.169,1.49e+07,1.17e+05
5.76,0.25,0.491,0.184,0.158,0.171,0.25,0.491,0.184,0.158,0.171,1.5e+07,1.17e+05
5.76,0.253,0.495,0.187,0.156,0.171,0.253,0.495,0.187,0.156,0.171,1.5e+07,1.17e+05
5.85,0.253,0.495,0.183,0.156,0.174,0.253,0.495,0.183,0.156,0.174,1.51e+07,1.18e+05
5.87,0.252,0.496,0.187,0.154,0.174,0.252,0.496,0.187,0.154,0.174,1.51e+07,1.18e+05
5.67,0.25,0.489,0.186,0.15,0.172,0.25,0.489,0.186,0.15,0.172,1.51e+07,1.18e+05
5.73,0.249,0.489,0.184,0.156,0.172,0.249,0.489,0.184,0.156,0.172,1.52e+07,1.18e+05
5.82,0.25,0.489,0.186,0.158,0.172,0.25,0.489,0.186,0.158,0.172,1.52e+07,1.19e+05
5.79,0.251,0.495,0.187,0.155,0.17,0.251,0.495,0.187,0.155,0.17,1.52e+07,1.19e+05
5.66,0.249,0.489,0.186,0.152,0.167,0.249,0.489,0.186,0.152,0.167,1.53e+07,1.19e+05
5.78,0.25,0.491,0.183,0.152,0.171,0.25,0.491,0.183,0.152,0.171,1.53e+07,1.2e+05
5.79,0.249,0.491,0.188,0.153,0.171,0.249,0.491,0.188,0.153,0.171,1.54e+07,1.2e+05
5.97,0.249,0.491,0.183,0.151,0.169,0.249,0.491,0.183,0.151,0.169,1.54e+07,1.2e+05
5.91,0.249,0.489,0.186,0.153,0.17,0.249,0.489,0.186,0.153,0.17,1.54e+07,1.21e+05
6,0.249,0.49,0.183,0.152,0.168,0.249,0.49,0.183,0.152,0.168,1.55e+07,1.21e+05
5.87,0.25,0.495,0.182,0.152,0.169,0.25,0.495,0.182,0.152,0.169,1.55e+07,1.21e+05
5.98,0.247,0.487,0.184,0.151,0.167,0.247,0.487,0.184,0.151,0.167,1.56e+07,1.22e+05
5.8,0.249,0.492,0.181,0.152,0.17,0.249,0.492,0.181,0.152,0.17,1.56e+07,1.22e+05
6.04,0.248,0.491,0.185,0.153,0.166,0.248,0.491,0.185,0.153,0.166,1.56e+07,1.22e+05
5.97,0.249,0.492,0.186,0.151,0.165,0.249,0.492,0.186,0.151,0.165,1.57e+07,1.22e+05
5.91,0.249,0.492,0.184,0.154,0.168,0.249,0.492,0.184,0.154,0.168,1.57e+07,1.23e+05
5.87,0.247,0.494,0.18,0.149,0.164,0.247,0.494,0.18,0.149,0.164,1.57e+07,1.23e+05
5.94,0.246,0.492,0.182,0.15,0.167,0.246,0.492,0.182,0.15,0.167,1.58e+07,1.23e+05
5.97,0.245,0.492,0.181,0.149,0.165,0.245,0.492,0.181,0.149,0.165,1.58e+07,1.24e+05
5.91,0.248,0.495,0.184,0.149,0.166,0.248,0.495,0.184,0.149,0.166,1.59e+07,1.24e+05
6.08,0.249,0.493,0.183,0.151,0.165,0.249,0.493,0.183,0.151,0.165,1.59e+07,1.24e+05
5.94,0.245,0.493,0.18,0.146,0.167,0.245,0.493,0.18,0.146,0.167,1.59e+07,1.24e+05
5.98,0.247,0.492,0.182,0.148,0.165,0.247,0.492,0.182,0.148,0.165,1.6e+07,1.25e+05
6.14,0.246,0.496,0.177,0.149,0.163,0.246,0.496,0.177,0.149,0.163,1.6e+07,1.25e+05
5.97,0.245,0.494,0.179,0.144,0.162,0.245,0.494,0.179,0.144,0.162,1.61e+07,1.25e+05
5.94,0.243,0.49,0.177,0.148,0.162,0.243,0.49,0.177,0.148,0.162,1.61e+07,1.26e+05
5.98,0.245,0.492,0.179,0.148,0.16,0.245,0.492,0.179,0.148,0.16,1.61e+07,1.26e+05
6.01,0.241,0.492,0.174,0.143,0.157,0.241,0.492,0.174,0.143,0.157,1.62e+07,1.26e+05
6.15,0.242,0.494,0.17,0.145,0.159,0.242,0.494,0.17,0.145,0.159,1.62e+07,1.27e+05
6.12,0.241,0.492,0.172,0.142,0.159,0.241,0.492,0.172,0.142,0.159,1.62e+07,1.27e+05
6.2,0.239,0.489,0.17,0.138,0.156,0.239,0.489,0.17,0.138,0.156,1.63e+07,1.27e+05
6.27,0.238,0.496,0.165,0.137,0.152,0.238,0.496,0.165,0.137,0.152,1.63e+07,1.28e+05
6.3,0.234,0.488,0.166,0.134,0.148,0.234,0.488,0.166,0.134,0.148,1.64e+07,1.28e+05
6.19,0.227,0.479,0.156,0.128,0.144,0.227,0.479,0.156,0.128,0.144,1.64e+07,1.28e+05
6.34,0.226,0.487,0.149,0.124,0.142,0.226,0.487,0.149,0.124,0.142,1.64e+07,1.28e+05
6.28,0.22,0.482,0.138,0.117,0.136,0.22,0.482,0.138,0.117,0.136,1.65e+07,1.29e+05
6.27,0.211,0.469,0.13,0.11,0.13,0.211,0.469,0.13,0.11,0.13,1.65e+07,1.29e+05
6.38,0.203,0.467,0.119,0.104,0.122,0.203,0.467,0.119,0.104,0.122,1.66e+07,1.29e+05
6.46,0.198,0.464,0.108,0.0971,0.117,0.198,0.464,0.108,0.0971,0.117,1.66e+07,1.3e+05
6.24,0.19,0.45,0.103,0.0921,0.113,0.19,0.45,0.103,0.0921,0.113,1.66e+07,1.3e+05
6.54,0.187,0.453,0.0965,0.0871,0.112,0.187,0.453,0.0965,0.0871,0.112,1.67e+07,1.3e+05
6.43,0.183,0.449,0.0934,0.0837,0.111,0.183,0.449,0.0934,0.0837,0.111,1.67e+07,1.30e+05
6.3,0.182,0.455,0.0906,0.0819,0.11,0.182,0.455,0.0906,0.0819,0.11,1.67e+07,1.31e+05
6.75,0.181,0.449,0.0864,0.0803,0.109,0.181,0.449,0.0864,0.0803,0.109,1.68e+07,1.31e+05
6.49,0.18,0.444,0.0864,0.0772,0.109,0.18,0.444,0.0864,0.0772,0.109,1.68e+07,1.31e+05
6.59,0.179,0.45,0.0839,0.0763,0.106,0.179,0.45,0.0839,0.0763,0.106,1.69e+07,1.32e+05
6.44,0.18,0.451,0.0839,0.0754,0.107,0.18,0.451,0.0839,0.0754,0.107,1.69e+07,1.32e+05
6.48,0.177,0.444,0.082,0.0759,0.106,0.177,0.444,0.082,0.0759,0.106,1.69e+07,1.32e+05
6.61,0.176,0.448,0.0816,0.0746,0.105,0.176,0.448,0.0816,0.0746,0.105,1.7e+07,1.33e+05
6.74,0.176,0.446,0.082,0.0738,0.105,0.176,0.446,0.082,0.0738,0.105,1.7e+07,1.33e+05
6.64,0.178,0.45,0.0818,0.0733,0.106,0.178,0.45,0.0818,0.0733,0.106,1.7e+07,1.33e+05
6.77,0.176,0.446,0.0812,0.0734,0.104,0.176,0.446,0.0812,0.0734,0.104,1.71e+07,1.34e+05
6.58,0.175,0.451,0.0815,0.0721,0.102,0.175,0.451,0.0815,0.0721,0.102,1.71e+07,1.34e+05
6.37,0.176,0.449,0.0813,0.0709,0.102,0.176,0.449,0.0813,0.0709,0.102,1.72e+07,1.34e+05
6.73,0.175,0.445,0.082,0.0725,0.101,0.175,0.445,0.082,0.0725,0.101,1.72e+07,1.34e+05
6.58,0.176,0.45,0.0801,0.0702,0.101,0.176,0.45,0.0801,0.0702,0.101,1.72e+07,1.35e+05
6.5,0.175,0.448,0.0806,0.0722,0.1,0.175,0.448,0.0806,0.0722,0.1,1.73e+07,1.35e+05
6.79,0.175,0.45,0.0801,0.0697,0.1,0.175,0.45,0.0801,0.0697,0.1,1.73e+07,1.35e+05
6.54,0.176,0.45,0.0794,0.0692,0.1,0.176,0.45,0.0794,0.0692,0.1,1.74e+07,1.36e+05
6.54,0.174,0.451,0.079,0.0692,0.0982,0.174,0.451,0.079,0.0692,0.0982,1.74e+07,1.36e+05
6.54,0.175,0.445,0.0799,0.0692,0.1,0.175,0.445,0.0799,0.0692,0.1,1.74e+07,1.36e+05
6.59,0.174,0.448,0.0812,0.0678,0.0993,0.174,0.448,0.0812,0.0678,0.0993,1.75e+07,1.36e+05
6.64,0.176,0.453,0.0802,0.0676,0.0979,0.176,0.453,0.0802,0.0676,0.0979,1.75e+07,1.37e+05
6.52,0.173,0.447,0.0786,0.068,0.0983,0.173,0.447,0.0786,0.068,0.0983,1.75e+07,1.37e+05
6.25,0.175,0.452,0.0795,0.0675,0.0977,0.175,0.452,0.0795,0.0675,0.0977,1.76e+07,1.37e+05
6.48,0.173,0.445,0.08,0.0677,0.0974,0.173,0.445,0.08,0.0677,0.0974,1.76e+07,1.38e+05
6.33,0.173,0.447,0.0808,0.0663,0.0973,0.173,0.447,0.0808,0.0663,0.0973,1.77e+07,1.38e+05
6.38,0.174,0.449,0.0798,0.0662,0.0969,0.174,0.449,0.0798,0.0662,0.0969,1.77e+07,1.38e+05
6.6,0.172,0.448,0.079,0.0669,0.096,0.172,0.448,0.079,0.0669,0.096,1.77e+07,1.39e+05
6.66,0.174,0.451,0.079,0.0669,0.0956,0.174,0.451,0.079,0.0669,0.0956,1.78e+07,1.39e+05
6.54,0.171,0.448,0.078,0.067,0.0963,0.171,0.448,0.078,0.067,0.0963,1.78e+07,1.39e+05
6.43,0.172,0.452,0.0794,0.0663,0.096,0.172,0.452,0.0794,0.0663,0.096,1.79e+07,1.4e+05
6.63,0.174,0.455,0.079,0.0658,0.0952,0.174,0.455,0.079,0.0658,0.0952,1.79e+07,1.4e+05
6.67,0.174,0.451,0.0798,0.0658,0.0962,0.174,0.451,0.0798,0.0658,0.0962,1.79e+07,1.4e+05
6.54,0.175,0.452,0.0786,0.0652,0.095,0.175,0.452,0.0786,0.0652,0.095,1.8e+07,1.4e+05
6.66,0.171,0.447,0.079,0.0643,0.0946,0.171,0.447,0.079,0.0643,0.0946,1.8e+07,1.41e+05
6.67,0.173,0.454,0.0783,0.0648,0.0945,0.173,0.454,0.0783,0.0648,0.0945,1.8e+07,1.41e+05
6.52,0.172,0.45,0.0793,0.0656,0.0943,0.172,0.45,0.0793,0.0656,0.0943,1.81e+07,1.41e+05
6.53,0.172,0.449,0.0778,0.0654,0.0933,0.172,0.449,0.0778,0.0654,0.0933,1.81e+07,1.42e+05
6.51,0.172,0.453,0.0782,0.0651,0.0948,0.172,0.453,0.0782,0.0651,0.0948,1.82e+07,1.42e+05
6.59,0.172,0.448,0.0788,0.0635,0.0939,0.172,0.448,0.0788,0.0635,0.0939,1.82e+07,1.42e+05
6.6,0.172,0.448,0.0784,0.065,0.093,0.172,0.448,0.0784,0.065,0.093,1.82e+07,1.42e+05
